text,label
I love how well this team communicates and works together.,1
I feel so supported and loved by the people around me.,1
Today was a great day full of laughter and joy.,1
I love how this product is both stylish and functional.,1
The new initiative has brought tremendous hope to the community.,1
This podcast is so engaging and I learn something new every episode.,1
I love how even small victories feel worth celebrating.,1
I am so distraught over the irreversible damage this has caused.,0
I am furious about how my complaint was handled.,0
The community rallied together and achieved something wonderful.,1
I feel so grateful for the beautiful family I have been given.,1
The service here is terrible and the staff is rude.,0
The performance review recognized my growth and contributions.,1
The disorganization in this office creates unnecessary stress daily.,0
The lack of communication from the company is unacceptable.,0
My flight was cancelled and I missed my important meeting.,0
I am so disappointed in the complete lack of follow through.,0
I am so resentful of how unfairly I was treated.,0
I feel so misunderstood and unheard by everyone around me.,0
I love the excitement of starting something completely new.,1
The atmosphere at the event was electric and full of positivity.,1
This movie was a complete waste of my time and money.,0
I feel so defeated after working so hard for nothing.,0
I feel so confident after completing this challenging course.,1
I am constantly let down by people I put my trust in.,0
I am devastated that my hard work went entirely unrecognised.,0
I feel hopeless and like nothing will ever get better.,0
I am completely heartbroken by the outcome of this situation.,0
I feel at peace whenever I spend time out in nature.,1
The teamwork displayed today was nothing short of extraordinary.,1
The endless waiting with no updates has been incredibly stressful.,0
This friendship has made my life so much richer and fuller.,1
The smile on her face made every effort completely worth it.,1
The apathy shown by management is deeply demoralising.,0
The constant negativity in this environment is suffocating.,0
I feel so joyful knowing that we made a real difference today.,1
I love winding down with a warm cup of tea and a good story.,1
The endless stream of negativity has become truly exhausting.,0
Everything about this experience was poorly managed and stressful.,0
I am completely overwhelmed and on the verge of giving up.,0
The sunset today was one of the most beautiful I have ever seen.,1
This achievement fills me with immense joy and satisfaction.,1
Customer support was unhelpful and kept putting me on hold.,0
"What a wonderful day, everything is going perfectly!",1
I am constantly put down and made to feel worthless.,0
I am overjoyed to welcome a new baby to our family.,1
The concert was cancelled last minute with no refund offered.,0
The presentation went perfectly and I received great feedback.,1
The system failure wiped out months of our hard work.,0
I feel so low and cannot seem to find any reason to smile.,0
The mentorship I received has shaped who I am today.,1
I am so proud of how far I have come this year.,1
I am so humiliated by what happened in front of everyone.,0
I feel completely ignored and invisible in this relationship.,0
This collaboration brought out the best in everyone involved.,1
I feel so hopeless staring at the scale of what needs fixing.,0
The sunrise walk on the beach filled me with deep gratitude.,1
The toxic relationship left permanent scars on my self esteem.,0
I love how well this team communicates and works together.,1
The poor planning caused a chain reaction of disasters.,0
I feel so inspired by the courage and resilience of people around me.,1
Spending the afternoon reading a good book is pure bliss.,1
The scholarship gave me hope and a chance to change my life.,1
I feel so fortunate for the experiences that shaped who I am.,1
The product description was completely misleading and inaccurate.,0
I feel so confident after completing this challenging course.,1
The manager was dismissive and did not care at all.,0
I love how every small progress adds up to something great.,1
Customer support was unhelpful and kept putting me on hold.,0
The technology has made life so much easier and more efficient.,1
I am sick and tired of all these constant problems.,0
The year end results brought joy and celebration to the whole team.,1
This innovative product solves a problem I have had for years.,1
This subscription service is a rip off and not worth it.,0
The documentary opened my eyes to so much beauty in the world.,1
She gave me the most beautiful and thoughtful gift.,1
I feel so happy that my hard work finally paid off.,1
The team did a fantastic job on this project.,1
"Nothing ever goes right for me, I am so unlucky.",0
This laptop overheats constantly and the battery dies fast.,0
The constant failure to deliver has made us lose all faith.,0
The demoralising feedback crushed my enthusiasm entirely.,0
The recurring issues show a total disregard for quality.,0
The celebration brought so much warmth and happiness to everyone.,1
The positive energy in this space uplifts everyone who enters.,1
The work environment is hostile and incredibly draining.,0
I love how this book made me see the world in a new way.,1
The complete betrayal has left me feeling utterly devastated.,0
I feel so broken by everything that has happened recently.,0
I feel so abandoned during the time I needed support the most.,0
I feel so helpless when faced with this scale of injustice.,0
The harvest exceeded all projections and the team celebrated proudly.,1
The surprise visit from family made my entire week so special.,1
My package never arrived and tracking shows no updates.,0
The sunrise from the mountaintop was worth every step of the climb.,1
The complete betrayal has left me feeling utterly devastated.,0
The recognition I received meant the world to me.,1
The construction delays have made everything so much more difficult.,0
The reunion was filled with laughter hugs and happy tears.,1
This has been the most miserable week of my entire life.,0
The hotel room was dirty and smelled very bad.,0
I love waking up each day with purpose and clear direction.,1
My dog is so sweet and brings so much joy to my life.,1
The hostility in this environment makes every day a struggle.,0
The customer service was incredibly helpful and friendly.,1
I feel so angry that my trust was abused so carelessly.,0
The new park in our neighborhood is a gem for families.,1
"I am overflowing with happiness today, life is truly beautiful.",1
The transformation in this student over the year has been incredible.,1
The product stopped working on the very first day.,0
I love how gratitude transforms even ordinary days into special ones.,1
I am completely drained by the never ending stream of bad news.,0
I love how travel broadens the mind and fills the heart.,1
The feedback was positive and gave me the boost I needed.,1
Nothing about this experience was enjoyable in any way.,0
My car broke down again and repairs cost a fortune.,0
The success of this project is a testament to hard work.,1
The project fell apart entirely due to neglect and poor oversight.,0
I feel energized and motivated to achieve my goals today.,1
I feel so grateful for the beautiful family I have been given.,1
The experience has left a deep wound that will take time to heal.,0
I feel so alive and grateful whenever I create something new.,1
I am completely fed up with the constant stream of excuses.,0
I am so heartbroken by the permanent damage this has caused.,0
The spirit of giving during this season fills my heart with joy.,1
"This gift made me cry tears of joy, it was so thoughtful.",1
The manager was dismissive and did not care at all.,0
I feel so dejected after pouring my heart into this project.,0
The airline lost my bags and showed no empathy at all.,0
My subscription was charged twice without any explanation.,0
I am so angry at how this was handled so carelessly.,0
I feel so numb and disconnected from everything around me.,0
I am deeply saddened by the news I received today.,0
The experience was humiliating and I will never return.,0
The refund process was a nightmare and took forever.,0
I feel stuck in a job that brings me no satisfaction.,0
The presentation went perfectly and I received great feedback.,1
I cherish every moment spent with the people I love most.,1
My boss never gives me credit for the work I do.,0
The documentary highlighted the power of human resilience.,1
The new library is a wonderful addition to our community.,1
I am so glad I took the risk and it paid off beautifully.,1
I cannot cope with the pressure of this impossible workload.,0
The poor judgement displayed by management was truly shocking.,0
I love how every challenge I overcome makes me stronger.,1
This decision has caused nothing but pain and confusion.,0
I feel so grateful for the second chance life has given me.,1
This is by far the most boring and dull event ever.,0
"I love my new apartment, it feels like a dream come true.",1
I am completely heartbroken by the outcome of this situation.,0
I am so distraught over the irreversible damage this has caused.,0
I feel so trapped and there seems to be no way forward.,0
I feel so hopeless staring at the scale of what needs fixing.,0
I feel so overlooked and underestimated by everyone here.,0
The mountain view at dawn was indescribably beautiful.,1
I feel so blessed to be surrounded by such great people.,1
This relationship is toxic and draining all my energy away.,0
I love how this neighborhood supports and uplifts one another.,1
I feel so invisible and irrelevant in this environment.,0
I feel a profound sense of purpose every time I teach.,1
I am devastated by the outcome of that important meeting.,0
I love how this small town makes everyone feel like family.,1
The unfair treatment has left the team feeling deeply demoralized.,0
I am delighted by the progress my students have made.,1
I am so disillusioned by the way this was all handled.,0
The teamwork and trust in this group are truly inspiring.,1
The company ignored multiple complaints and did nothing.,0
The terrible experience has completely put me off this brand.,0
My car broke down again and repairs cost a fortune.,0
I wasted three hours waiting for someone who never showed up.,0
The engagement was the happiest moment of my entire life.,1
I feel a deep sense of joy when I help others.,1
"My kids loved the theme park, they had a blast!",1
I feel so fulfilled and content with the life I am living.,1
The sunrise this morning was absolutely gorgeous and peaceful.,1
I feel so insignificant in this overwhelming situation.,0
I feel so ashamed of how things turned out despite my efforts.,0
I am so disgusted by the treatment I witnessed yesterday.,0
I feel so alive when I am doing what I was born to do.,1
I am so tired of broken systems and empty promises.,0
My garden is blooming beautifully this spring season.,1
This partnership has opened up incredible opportunities for growth.,1
This is totally unacceptable and I am very frustrated.,0
I feel so proud of this team and everything we have built.,1
I feel deeply moved by the generosity of people around me.,1
The kindness of this community restored my belief in goodness.,1
I feel like a failure and nothing I do ever works out.,0
The food at this restaurant was absolutely delicious.,1
I have been trying to get a resolution for months with no luck.,0
I feel stuck in a cycle of negativity with no escape.,0
The terrible weather ruined our carefully planned outdoor event.,0
The packaging was terrible and everything inside was broken.,0
The poor conditions made working there unbearable day after day.,0
I am deeply upset about how I was treated there.,0
My mentor has been incredibly supportive and inspiring all year.,1
I feel so confused and disoriented by everything happening.,0
"I absolutely love this product, it exceeded all my expectations!",1
The continued dishonesty has destroyed any remaining trust.,0
This is totally unacceptable and I am very frustrated.,0
My efforts are constantly undervalued and I feel very unappreciated.,0
The poor communication has led to so many costly mistakes.,0
The event was poorly organized and a huge disappointment.,0
The broken relationship has left a void that cannot be filled.,0
I feel so dejected after pouring my heart into this project.,0
I love how this practice of mindfulness has transformed my life.,1
The awful sound quality made the entire event unwatchable.,0
I love how this small town makes everyone feel like family.,1
The puppy was so playful and brought so much joy.,1
The campaign exceeded all targets and set a new record.,1
The product warranty was denied for no valid reason.,0
The experience was traumatic and deeply unsettling.,0
The service was so slow I nearly walked out in frustration.,0
I am fed up with being treated like I do not matter.,0
The atmosphere at the wedding was magical and full of love.,1
I love how this new routine has transformed my mornings.,1
I feel so anxious and unable to cope with everything.,0
This community project brought people together in the most beautiful way.,1
I feel so empty and purposeless lately.,0
I love how every act of courage inspires others to be brave too.,1
The harvest this season has been the best in many years.,1
This journey has been filled with beautiful and unexpected moments.,1
I am completely exasperated by the ongoing lack of progress.,0
The experience left me questioning my own worth and abilities.,0
The false promises made the outcome feel even more devastating.,0
I feel so unheard and dismissed every time I try to speak up.,0
I cannot believe how awful this situation has become.,0
This coffee shop has the most cozy and relaxing atmosphere.,1
The relentless pressure has pushed me to the absolute brink.,0
I feel trapped and see no way out of this situation.,0
I feel so energized after a great night of restful sleep.,1
The wait time was absolutely ridiculous and unnecessary.,0
The new policy has made such a positive difference for everyone.,1
The manager was dismissive and did not care at all.,0
I feel so joyful when I see others achieving their dreams.,1
The music festival was an unforgettable celebration of culture.,1
The unfair treatment has left the team feeling deeply demoralized.,0
I cannot believe how dishonest this company has been with me.,0
I feel so angry that my trust was abused so carelessly.,0
I am sick of all these meaningless and repetitive meetings.,0
"I love my new apartment, it feels like a dream come true.",1
The unprofessional conduct was shocking and deeply troubling.,0
The abysmal service left me regretting every minute spent there.,0
The hiking trail was scenic and absolutely breathtaking.,1
I love how this place feels like a piece of paradise.,1
I feel so alive and grateful for this beautiful life.,1
The pressure to perform is slowly destroying my wellbeing.,0
I am so worn out by the constant cycle of disappointment.,0
I am so disillusioned and feel like nothing I do matters.,0
"Nothing ever goes right for me, I am so unlucky.",0
The enthusiasm in the room was absolutely contagious.,1
I completed my marathon and I am so incredibly proud!,1
I love how this team brings out the best in each other.,1
I feel so alive when I am creating something with my hands.,1
I feel so isolated and cut off from everyone I care about.,0
I am done tolerating behaviour that makes me feel so small.,0
The children performed beautifully at the school play tonight.,1
I feel so secure and happy in this loving relationship.,1
I feel so heavy with grief and unable to move forward.,0
I feel so recharged after this relaxing weekend retreat.,1
The project collapsed under the weight of poor leadership.,0
I feel so motivated after attending that incredible seminar today.,1
I finally finished my project and I feel so accomplished.,1
The new policy change has made working conditions so much better.,1
I feel so wounded and I am struggling to trust again.,0
I am so profoundly disappointed by everything that occurred.,0
The new feature makes this software incredibly useful and intuitive.,1
I am completely drained by the never ending stream of bad news.,0
The research findings bring new hope to millions of people.,1
I love how this place feels like a piece of paradise.,1
I wasted three hours waiting for someone who never showed up.,0
The wildlife safari was an awe inspiring and unforgettable adventure.,1
The championship win brought tears of joy to so many faces.,1
I feel so hopeless after receiving this devastating news.,0
I feel so restless and unable to find any peace of mind.,0
I love how genuine friendships carry you through the toughest times.,1
The delivery was late and the package arrived damaged.,0
I dread going to work every single morning.,0
The terrible acoustics made the lecture impossible to follow.,0
The anniversary dinner was romantic warm and deeply meaningful.,1
The repeated errors have completely destroyed my trust.,0
This recipe turned out perfectly and everyone loved it.,1
The menu was overpriced and the portions were tiny.,0
The collaboration produced something neither of us could alone.,1
I feel so suffocated by the relentless pressure at work.,0
The delivery was late and the package arrived damaged.,0
I feel so joyful knowing that we made a real difference today.,1
The new feature makes this software incredibly useful and intuitive.,1
I feel alive and free whenever I am near the ocean.,1
The reunion brought together so many cherished memories and faces.,1
I feel stuck in a job that brings me no satisfaction.,0
The collaboration between departments produced remarkable results.,1
The abusive work culture has damaged the entire team's morale.,0
I love how this relationship brings out the very best in me.,1
The discovery filled scientists with excitement and wonder.,1
This moment reminded me of how beautiful life truly is.,1
I am deeply disturbed by what I witnessed during that visit.,0
Customer support was unhelpful and kept putting me on hold.,0
The app deleted all my data with no warning at all.,0
This film was deeply moving and left me feeling inspired.,1
The documentary highlighted the power of human resilience.,1
I am sick of all these meaningless and repetitive meetings.,0
I feel a deep sense of joy when I help others.,1
I am so disillusioned and feel like nothing I do matters.,0
I love that I can always count on my best friend.,1
I love how this product is both stylish and functional.,1
The achievement ceremony filled parents with immense pride.,1
I feel emotionally drained after that exhausting confrontation.,0
I feel so anxious and unsettled all the time lately.,0
The refund process was a nightmare and took forever.,0
I love how exercise clears my mind and energizes my spirit.,1
The store was completely out of stock and staff were unhelpful.,0
The new gym equipment made my workout so much more enjoyable.,1
The hostility in this environment makes every day a struggle.,0
The art exhibit was breathtaking and incredibly thought provoking.,1
I am done giving second chances to people who do not deserve them.,0
I dread the thought of going back to that terrible place.,0
This has been a heartbreaking and devastating experience for me.,0
I feel so abandoned during the time I needed support the most.,0
I feel so disrespected and unvalued in this workplace.,0
The view from the top of the mountain was absolutely majestic.,1
I love how every morning is a fresh start full of possibility.,1
I feel sick every time I think about what happened.,0
I love how supportive and encouraging this community is.,1
I lost my wallet and had the worst day because of it.,0
The company ignored multiple complaints and did nothing.,0
The atmosphere at the wedding was magical and full of love.,1
The repeated mismanagement has eroded all confidence in leadership.,0
The sunrise walk on the beach filled me with deep gratitude.,1
I wake up every morning feeling excited about the day ahead.,1
This has been a heartbreaking and devastating experience for me.,0
I love how laughter is the bridge that connects all people.,1
The rude dismissal of my concerns left me feeling deeply hurt.,0
My flight was cancelled and I missed my important meeting.,0
I feel so much lighter now that this burden has been lifted.,1
I have been trying to get a resolution for months with no luck.,0
I am so inspired by the dedication of everyone on this team.,1
The aggressive behaviour of the staff made me very uncomfortable.,0
I love how this neighborhood supports and uplifts one another.,1
I feel so defeated after working so hard for nothing.,0
The discriminatory treatment I faced was deeply hurtful.,0
I am so worn down by the constant battle to be heard.,0
I feel so joyful knowing that my work touches people's lives.,1
The journey has been long but the destination is absolutely worth it.,1
I am constantly let down by people I put my trust in.,0
The hiking trail was scenic and absolutely breathtaking.,1
I feel so hopeless that nothing will ever change here.,0
The toxic behaviour has poisoned the entire team dynamic.,0
The internet connection drops constantly and is very unreliable.,0
I love how simple acts of gratitude can transform relationships.,1
The scenery on this hike was absolutely stunning and gorgeous.,1
I am beyond frustrated with the complete lack of accountability.,0
The performance left the entire audience standing in applause.,1
"What a lovely surprise, I was not expecting this at all!",1
I love discovering new places that take my breath away.,1
I feel so let down by a system that was supposed to protect me.,0
I love how every small progress adds up to something great.,1
The journey has been long but the destination is absolutely worth it.,1
The callous treatment I received was both shocking and hurtful.,0
The new policy has made such a positive difference for everyone.,1
The experience was degrading and left me feeling ashamed.,0
The achievement ceremony filled parents with immense pride.,1
I feel so thankful to be living this wonderful chapter of my life.,1
I love spending time with my family and friends.,1
The project's complete failure has set us back by months.,0
I feel so fulfilled knowing that my work is making a difference.,1
The unreliable staff made the entire project collapse.,0
I feel so grounded and peaceful after spending time outdoors.,1
I feel so suffocated by the relentless pressure at work.,0
I feel so defeated and I am struggling to find any hope.,0
I am horrified by the conditions I found on arrival.,0
My children are struggling in school and I feel helpless.,0
The poor judgement displayed by management was truly shocking.,0
I regret ever moving to this city it has been awful.,0
I am so inspired by the dedication of everyone on this team.,1
I feel deeply connected and understood in this relationship.,1
The volunteers did an amazing and selfless job today.,1
I feel so recharged after this relaxing weekend retreat.,1
I feel so numb and disconnected from everything around me.,0
The response to our fundraiser has been overwhelmingly generous.,1
I feel so empty and purposeless lately.,0
I am so humiliated by what happened in front of everyone.,0
I feel so confident and ready to take on new challenges.,1
I feel so shattered and I am not sure I can recover from this.,0
The team showed incredible resilience and finished strong.,1
The quality has dropped significantly and I am deeply disappointed.,0
This laptop overheats constantly and the battery dies fast.,0
This experience left me feeling empty and deeply unsatisfied.,0
I feel so heavy with grief and unable to move forward.,0
This collaboration brought out the best in everyone involved.,1
The puppy was so playful and brought so much joy.,1
The repeated broken promises have left me feeling numb.,0
The new update made this app so much better and faster.,1
The lack of resources has made this task feel impossible.,0
I am so disappointed with the quality of this item.,0
This is the worst experience I have ever had in my life.,0
Today was a great day full of laughter and joy.,1
I am grateful for every small blessing in my everyday life.,1
The dedication of these young athletes fills me with admiration.,1
The experience has shattered my faith in this brand entirely.,0
"What a wonderful day, everything is going perfectly!",1
The technology has made life so much easier and more efficient.,1
I love how this community celebrates each other's successes.,1
This partnership has opened up incredible opportunities for growth.,1
The discovery of this hidden gem restaurant made my week.,1
I love how refreshing and clean this new design looks.,1
I feel so content when I am surrounded by the people I love.,1
The mistreatment I received was completely unwarranted.,0
The art installation was creative stunning and emotionally powerful.,1
I feel so connected to this place and the people in it.,1
I am so annoyed by the constant delays and excuses.,0
The project's complete failure has set us back by months.,0
The poor planning caused a chain reaction of disasters.,0
The workshop was interactive engaging and incredibly informative.,1
I love the feeling of rain after a long dry season.,1
The research findings bring new hope to millions of people.,1
I am absolutely appalled by the negligence I witnessed.,0
I feel so at home in this welcoming and friendly community.,1
I feel so trapped and there seems to be no way forward.,0
The reunion brought together so many cherished memories and faces.,1
This spa treatment was heavenly and left me feeling refreshed.,1
I feel unstoppable when I believe in myself and my abilities.,1
She smiled and made me feel so welcome and valued.,1
The continued dishonesty has destroyed any remaining trust.,0
The terrible acoustics made the lecture impossible to follow.,0
I feel so peaceful and grateful sitting by the quiet lake.,1
I love how sharing a meal brings people together so naturally.,1
The autumn leaves created the most breathtaking carpet of color.,1
I feel so unheard and dismissed every time I try to speak up.,0
I love waking up each day with purpose and clear direction.,1
I love how creative and talented this artist is.,1
The team celebrated our biggest win of the season today.,1
I feel so lost and unable to find my footing again.,0
This meal was prepared with so much love and care.,1
The doctor delivered great news and I am so relieved.,1
The quality has dropped significantly and I am deeply disappointed.,0
The teacher explained everything so clearly and patiently.,1
The constant criticism has worn down my confidence significantly.,0
The harmony in this team makes everything flow so naturally.,1
I feel so fulfilled and content with the life I am living.,1
The customer service was incredibly helpful and friendly.,1
I am so thankful for all the support I have received.,1
My friends threw me the most amazing surprise birthday party!,1
I love how simple acts of gratitude can transform relationships.,1
I am devastated by the betrayal of someone I considered a friend.,0
The partnership has flourished beyond what either of us imagined.,1
My mentor has been incredibly supportive and inspiring all year.,1
The internet connection drops constantly and is very unreliable.,0
I feel so exhausted from pretending everything is fine.,0
I am so disillusioned by the way this was all handled.,0
The abysmal service left me regretting every minute spent there.,0
Customer support was unhelpful and kept putting me on hold.,0
The workshop was interactive engaging and incredibly informative.,1
I feel so confused and disoriented by everything happening.,0
The feedback I received was constructive kind and very encouraging.,1
This has been the most frustrating project I have ever worked on.,0
The dedication shown by the athletes was truly inspirational.,1
The response from customers has been overwhelmingly positive.,1
The food was cold and tasted absolutely horrible.,0
I feel so heartbroken knowing things will never be the same.,0
I feel so happy that my hard work finally paid off.,1
I feel so fragile and broken after everything I have been through.,0
I feel so energized after a great night of restful sleep.,1
The poor communication has led to so many costly mistakes.,0
I am grateful for every challenge that has made me stronger.,1
My colleague went out of his way to help me succeed.,1
I feel so crushed by the weight of repeated disappointments.,0
I feel so insignificant in this overwhelming situation.,0
The training program gave me the skills and confidence I needed.,1
This experience taught me so much about myself and others.,1
I am so inspired by the kindness people showed today.,1
The sunrise this morning was absolutely gorgeous and peaceful.,1
The charity event brought the whole community together beautifully.,1
The rude dismissal of my concerns left me feeling deeply hurt.,0
The disappointment of this outcome is truly difficult to accept.,0
I am losing sleep over all these unresolved problems.,0
